application,regions,batch,runtime_ns
sha256-fpga,2,15,108389819
sha256-fpga,2,15,178567551
sha256-fpga,2,15,176766029
sha256-fpga,2,15,41162043
sha256-fpga,2,15,245858760
sha256-fpga,2,15,76605110
sha256-fpga,2,15,109579185
sha256-fpga,2,15,74479297
sha256-fpga,2,15,281964139
sha256-fpga,2,15,247029033
sha256-fpga,2,15,212194685
sha256-fpga,2,15,143161025
sha256-fpga,2,15,351812412
sha256-fpga,2,15,349321582
sha256-fpga,2,15,282124744
sha256-fpga,2,15,386656086
sha256-fpga,2,15,419253347
sha256-fpga,2,15,421484869
sha256-fpga,2,15,456744271
sha256-fpga,2,15,384029862
sha256-fpga,2,15,526329097
sha256-fpga,2,15,453698913
sha256-fpga,2,15,488499415
sha256-fpga,2,15,523528017
sha256-fpga,2,15,491600583
sha256-fpga,2,15,141261210
sha256-fpga,2,15,314132605
sha256-fpga,2,15,315801260
sha256-fpga,2,16,48900211
sha256-fpga,2,16,84311065
sha256-fpga,2,16,330247754
sha256-fpga,2,16,296828788
sha256-fpga,2,16,471488111
sha256-fpga,2,16,119148419
sha256-fpga,2,16,328937518
sha256-fpga,2,16,364653275
sha256-fpga,2,16,187700885
sha256-fpga,2,16,222531390
sha256-fpga,2,16,222672055
sha256-fpga,2,16,49127455
sha256-fpga,2,16,499171053
sha256-fpga,2,16,534592031
sha256-fpga,2,16,83865169
sha256-fpga,2,16,153346272
sha256-fpga,2,16,118205330
sha256-fpga,2,16,291042029
sha256-fpga,2,16,152767501
sha256-fpga,2,16,257500943
sha256-fpga,2,16,186873415
sha256-fpga,2,16,359601820
sha256-fpga,2,16,430412338
sha256-fpga,2,16,395096388
sha256-fpga,2,16,465540496
sha256-fpga,2,16,395079042
sha256-fpga,2,16,529608658
sha256-fpga,2,16,256068166
sha256-fpga,2,16,429809109
sha256-fpga,2,16,500144467
sha256-fpga,2,17,41143973
sha256-fpga,2,17,42853417
sha256-fpga,2,17,347915907
sha256-fpga,2,17,488494998
sha256-fpga,2,17,492313143
sha256-fpga,2,17,386756465
sha256-fpga,2,17,455498067
sha256-fpga,2,17,73396826
sha256-fpga,2,17,71455933
sha256-fpga,2,17,105641557
sha256-fpga,2,17,207203245
sha256-fpga,2,17,102598792
sha256-fpga,2,17,139631038
sha256-fpga,2,17,517592654
sha256-fpga,2,17,170483425
sha256-fpga,2,17,173832072
sha256-fpga,2,17,239134277
sha256-fpga,2,17,135893175
sha256-fpga,2,17,308991255
sha256-fpga,2,17,273318957
sha256-fpga,2,17,347401514
sha256-fpga,2,17,377956558
sha256-fpga,2,17,312216245
sha256-fpga,2,17,412675720
sha256-fpga,2,17,447430647
sha256-fpga,2,17,416532686
sha256-fpga,2,17,515887468
sha256-fpga,2,17,208106915
sha256-fpga,2,17,278675740
sha256-fpga,2,17,243020249
sha256-fpga,2,18,41706026
sha256-fpga,2,18,176278951
sha256-fpga,2,18,76804195
sha256-fpga,2,18,42291305
sha256-fpga,2,18,76971322
sha256-fpga,2,18,111296940
sha256-fpga,2,18,111667275
sha256-fpga,2,18,174576510
sha256-fpga,2,18,144653009
sha256-fpga,2,18,208646534
sha256-fpga,2,18,208833063
sha256-fpga,2,18,243633860
sha256-fpga,2,18,278862442
sha256-fpga,2,18,142251759
sha256-fpga,2,18,243850315
sha256-fpga,2,18,313939169
sha256-fpga,2,18,349025951
sha256-fpga,2,18,314172886
sha256-fpga,2,18,419419964
sha256-fpga,2,18,418944901
sha256-fpga,2,18,383834159
sha256-fpga,2,18,278273458
sha256-fpga,2,18,453588087
sha256-fpga,2,18,520919994
sha256-fpga,2,18,384031485
sha256-fpga,2,18,453834635
sha256-fpga,2,18,487998801
sha256-fpga,2,18,486697268
sha256-fpga,2,18,348115126
sha256-fpga,2,18,518967067
sha256-fpga,2,19,41725741
sha256-fpga,2,19,209868783
sha256-fpga,2,19,107649727
sha256-fpga,2,19,416844381
sha256-fpga,2,19,139870250
sha256-fpga,2,19,42502691
sha256-fpga,2,19,72804171
sha256-fpga,2,19,141623598
sha256-fpga,2,19,72781952
sha256-fpga,2,19,173766514
sha256-fpga,2,19,107540309
sha256-fpga,2,19,212610520
sha256-fpga,2,19,515794757
sha256-fpga,2,19,313698770
sha256-fpga,2,19,173873838
sha256-fpga,2,19,243369997
sha256-fpga,2,19,348273930
sha256-fpga,2,19,313213490
sha256-fpga,2,19,241332985
sha256-fpga,2,19,377369116
sha256-fpga,2,19,381357582
sha256-fpga,2,19,447357340
sha256-fpga,2,19,415989159
sha256-fpga,2,19,485400796
sha256-fpga,2,19,481029264
sha256-fpga,2,19,450760178
sha256-fpga,2,19,275110427
sha256-fpga,2,19,344663734
sha256-fpga,2,19,277503595
sha256-fpga,2,19,513373043
sha256-fpga,2,20,519527568
sha256-fpga,2,20,208660656
sha256-fpga,2,20,521635281
sha256-fpga,2,20,175571842
sha256-fpga,2,20,450334588
sha256-fpga,2,20,41523715
sha256-fpga,2,20,177559736
sha256-fpga,2,20,41048934
sha256-fpga,2,20,484334033
sha256-fpga,2,20,144050223
sha256-fpga,2,20,74224603
sha256-fpga,2,20,243198272
sha256-fpga,2,20,75534195
sha256-fpga,2,20,107987790
sha256-fpga,2,20,276020772
sha256-fpga,2,20,210745819
sha256-fpga,2,20,243512636
sha256-fpga,2,20,107472162
sha256-fpga,2,20,309397681
sha256-fpga,2,20,140115843
sha256-fpga,2,20,345085269
sha256-fpga,2,20,276055927
sha256-fpga,2,20,377948759
sha256-fpga,2,20,378980759
sha256-fpga,2,20,310278137
sha256-fpga,2,20,413612104
sha256-fpga,2,20,343596869
sha256-fpga,2,20,411665236
sha256-fpga,2,20,447997432
sha256-fpga,2,20,482532927
sha256-fpga,2,21,46834611
sha256-fpga,2,21,47682637
sha256-fpga,2,21,81423826
sha256-fpga,2,21,292772968
sha256-fpga,2,21,533634206
sha256-fpga,2,21,80940833
sha256-fpga,2,21,150126195
sha256-fpga,2,21,115386075
sha256-fpga,2,21,532218915
sha256-fpga,2,21,498207704
sha256-fpga,2,21,185106344
sha256-fpga,2,21,257334279
sha256-fpga,2,21,219244352
sha256-fpga,2,21,253116166
sha256-fpga,2,21,286610105
sha256-fpga,2,21,322820895
sha256-fpga,2,21,149904501
sha256-fpga,2,21,355942366
sha256-fpga,2,21,115071520
sha256-fpga,2,21,424930521
sha256-fpga,2,21,184673698
sha256-fpga,2,21,355811289
sha256-fpga,2,21,218759505
sha256-fpga,2,21,458956135
sha256-fpga,2,21,425290134
sha256-fpga,2,21,495237097
sha256-fpga,2,21,388939005
sha256-fpga,2,21,390108879
sha256-fpga,2,21,321117621
sha256-fpga,2,21,458477046
sha256-fpga,2,22,218496798
sha256-fpga,2,22,359002687
sha256-fpga,2,22,526061484
sha256-fpga,2,22,146419345
sha256-fpga,2,22,530671513
sha256-fpga,2,22,181218972
sha256-fpga,2,22,113247849
sha256-fpga,2,22,213044683
sha256-fpga,2,22,178752216
sha256-fpga,2,22,251006906
sha256-fpga,2,22,247502267
sha256-fpga,2,22,321206525
sha256-fpga,2,22,391752386
sha256-fpga,2,22,286255935
sha256-fpga,2,22,282241111
sha256-fpga,2,22,42614764
sha256-fpga,2,22,315931027
sha256-fpga,2,22,43202145
sha256-fpga,2,22,77248455
sha256-fpga,2,22,78471930
sha256-fpga,2,22,351075273
sha256-fpga,2,22,486912886
sha256-fpga,2,22,385164565
sha256-fpga,2,22,111370864
sha256-fpga,2,22,419703254
sha256-fpga,2,22,424558644
sha256-fpga,2,22,454382048
sha256-fpga,2,22,145752253
sha256-fpga,2,22,459472786
sha256-fpga,2,22,489883489
sha256-fpga,2,23,183706488
sha256-fpga,2,23,388781745
sha256-fpga,2,23,218468845
sha256-fpga,2,23,463089817
sha256-fpga,2,23,285060772
sha256-fpga,2,23,427451692
sha256-fpga,2,23,112187337
sha256-fpga,2,23,145147897
sha256-fpga,2,23,456025406
sha256-fpga,2,23,321285322
sha256-fpga,2,23,44539907
sha256-fpga,2,23,44256614
sha256-fpga,2,23,79065903
sha256-fpga,2,23,213291422
sha256-fpga,2,23,247053005
sha256-fpga,2,23,491601258
sha256-fpga,2,23,484835517
sha256-fpga,2,23,111261290
sha256-fpga,2,23,76346531
sha256-fpga,2,23,283017019
sha256-fpga,2,23,180696421
sha256-fpga,2,23,349195280
sha256-fpga,2,23,145429757
sha256-fpga,2,23,352811493
sha256-fpga,2,23,523126005
sha256-fpga,2,23,516806002
sha256-fpga,2,23,314084048
sha256-fpga,2,23,416838476
sha256-fpga,2,23,249046057
sha256-fpga,2,23,387417950
sha256-fpga,2,24,255482781
sha256-fpga,2,24,81459729
sha256-fpga,2,24,396166933
sha256-fpga,2,24,45935992
sha256-fpga,2,24,467090283
sha256-fpga,2,24,360694183
sha256-fpga,2,24,500840338
sha256-fpga,2,24,149385285
sha256-fpga,2,24,465950491
sha256-fpga,2,24,499741753
sha256-fpga,2,24,324436742
sha256-fpga,2,24,219337316
sha256-fpga,2,24,45668984
sha256-fpga,2,24,80643509
sha256-fpga,2,24,115334564
sha256-fpga,2,24,148732629
sha256-fpga,2,24,113777482
sha256-fpga,2,24,183647406
sha256-fpga,2,24,529377972
sha256-fpga,2,24,529862999
sha256-fpga,2,24,183312891
sha256-fpga,2,24,284576030
sha256-fpga,2,24,218377575
sha256-fpga,2,24,253247481
sha256-fpga,2,24,319467170
sha256-fpga,2,24,284230782
sha256-fpga,2,24,354469782
sha256-fpga,2,24,389655694
sha256-fpga,2,24,424847639
sha256-fpga,2,24,424558820
sha256-fpga,2,25,106273442
sha256-fpga,2,25,41296728
sha256-fpga,2,25,74148423
sha256-fpga,2,25,174921518
sha256-fpga,2,25,73615123
sha256-fpga,2,25,349470747
sha256-fpga,2,25,174881309
sha256-fpga,2,25,40318638
